molecule_chembl_id,activity_label,standard_value,standard_units,target_chembl_id,assay_chembl_id,rdkit_canonical_smiles
CHEMBL1213495,1,0.0,nM,CHEMBL364,CHEMBL1217000,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4C[C@]5(CC[C@]4(C)[C@H]3CC[C@]12C)OO[C@@]1(CCCCC1C)OO5
CHEMBL532337,1,667.07,nM,CHEMBL364,CHEMBL1054503,COc1ccc2ncc(F)c(CCN3C[C@H](CNCc4cc(F)c5c(c4)NC(=O)CO5)[C@H](O)C3)c2n1.Cl
CHEMBL532902,1,978.79,nM,CHEMBL364,CHEMBL1054503,CCOc1cc2ccccc2cc1CNCCCCCCNCc1cc2ccccc2cc1OCC.CS(=O)(=O)O
CHEMBL6150826,1,200.0,nM,CHEMBL364,CHEMBL6088822,CCc1ccc(-c2cc(-c3ccc(OC)c(OC)c3)nc(N3CCN(C(=O)/C=C/c4ccc(Cl)cc4)CC3)n2)cc1
CHEMBL2048890,0,15015.0,nM,CHEMBL364,CHEMBL2049756,CCOC(=O)CCCCCOc1ccc(CNC(C)C)cc1
CHEMBL1290358,0,200000.0,nM,CHEMBL364,CHEMBL1292973,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL2334039,1,7.8,nM,CHEMBL364,CHEMBL2342742,CCN(CC)Cc1ccc(Nc2ccc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN[C@H](C)c3ccccc3)cc2)cc1O
CHEMBL578905,1,383.0,nM,CHEMBL364,CHEMBL1040691,O=C1C(Nc2ccccc2)=C(N2CCCCC2)C(=O)c2ccccc21
CHEMBL534815,1,640.94,nM,CHEMBL364,CHEMBL1054503,Cc1cc(C(=O)Nc2ccc3c(c2)CCN3C2CCN(Cc3ccc4nsnc4c3)C2)no1
CHEMBL1744497,1,45.5,nM,CHEMBL364,CHEMBL1040692,CCSC(Cl)=C(NC(=O)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[O-][Cl+3]([O-])([O-])[O-]
CHEMBL532261,1,598.61,nM,CHEMBL364,CHEMBL1054503,COc1ccc2c(=NN=Cc3ccc(OC)c4ccccc34)cc(C)[nH]c2c1
CHEMBL1289997,1,900.0,nM,CHEMBL364,CHEMBL1291252,C#CCOc1ccc(/C=C/C(=O)/C=C/c2ccc(OC)c(OC)c2OC)cc1OC
CHEMBL4633219,0,100000.0,nM,CHEMBL364,CHEMBL4605392,Cc1c(Cc2ccc(C(F)(F)F)nc2)c[nH]c1C(=O)NS(C)(=O)=O
CHEMBL5619581,1,54.0,nM,CHEMBL364,CHEMBL5616754,Cn1cc(C(=O)N(CC(=O)NC2CCCCC2)Cc2ccc(C(=O)NO)cc2)c2ccccc21
CHEMBL6078344,1,9.2,nM,CHEMBL364,CHEMBL6073643,CS(=N)(=O)CCNC(=O)O[C@@H]1CCC[C@]2(C1)OOC1(O2)C2CC3CC(C2)CC1C3
CHEMBL418838,1,450.0,nM,CHEMBL364,CHEMBL761316,C[n+]1c2ccccc2cc2[n-]c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3c21
CHEMBL1255749,0,12589.25,nM,CHEMBL364,CHEMBL1267249,CC(N)c1cccc(Cl)c1Cl.Cl
CHEMBL1780021,0,25000.0,nM,CHEMBL364,CHEMBL1780853,COc1ccc([C@@H](C(=O)NC2CCCC2)N(C(=O)c2snc(C(N)=O)c2N)c2ccc(OC)cc2)cc1
CHEMBL531923,1,708.16,nM,CHEMBL364,CHEMBL1054503,c1ccc(Oc2ccc(Nc3ccnc4cc(-c5csc(CNCCN6CCOCC6)n5)ccc34)cc2)cc1
CHEMBL3415879,1,290.2,nM,CHEMBL364,CHEMBL3417906,Cn1cc2c3cc(Br)ccc3nc-2c2ccc(F)c(F)c21
CHEMBL4571042,1,16.6,nM,CHEMBL364,CHEMBL4426091,COC(=O)c1c[nH]c2cc(Oc3ccccc3)ccc2c1=O
CHEMBL6173107,0,100000.0,nM,CHEMBL364,CHEMBL6157740,CC(=O)SCC(=O)Nc1ccc(CN(CC(=O)NCc2ccccc2)C(=O)c2ccc(N(C)C)cc2)cc1
CHEMBL529817,1,223.81,nM,CHEMBL364,CHEMBL1054503,COc1ccc(C=NN=c2cc(C)[nH]c3c(C)cccc23)c2ccccc12
