molecule_chembl_id,rdkit_canonical_smiles,pIC50,pIC50_range,n_measurements,target_chembl_id,assay_chembl_id
CHEMBL1818378,O=C(CC[N+](=O)[O-])N1CCN(c2cccc(C(F)(F)F)c2)CC1,4.520280764560429,0.0,1,CHEMBL1667699,CHEMBL1820652
CHEMBL3971377,CCOc1ccc2nc(O)c(CNc3ccc4[nH]ncc4c3)cc2c1,5.342944147142896,0.0,1,CHEMBL3988585,CHEMBL3887425
CHEMBL3099405,Clc1cccc(C2CCN(c3nncc(-c4ccc(Br)cc4)n3)C2)c1,4.47755576649368,0.0,1,CHEMBL3137292,CHEMBL3101912
CHEMBL3739437,COc1ccc(CNC(=S)N2CCN(CCn3c(=O)ccc4ncc(OC)cc43)CC2)cc1,4.808828544271441,0.0,1,CHEMBL3430898,CHEMBL3745429
CHEMBL1807121,O=[N+]([O-])c1ccc(/N=N/Nc2ccc([N+](=O)[O-])cc2C(F)(F)F)c(C(F)(F)F)c1,7.522878745280337,0.0,1,CHEMBL360,CHEMBL3239483
CHEMBL4098606,CCCCc1ccc(Nc2nc(C)cs2)cc1,4.920818753952375,3.0700378666077546,3,CHEMBL360,CHEMBL4045158
CHEMBL2325402,Cc1ccccc1C1NC(=S)N=C2C1C(=O)N=C1SC([N+](=O)[O-])=CN12,4.752026733638194,0.0,1,CHEMBL2321612,CHEMBL2327220
CHEMBL261487,COC(=O)c1ccc(Cn2cc(NC(=O)c3noc4c3CC(C(C)(C)C)CC4)cn2)cc1,6.795880017344075,0.0,1,CHEMBL6069,CHEMBL935788
CHEMBL571677,COc1ccc(/C=C2/SC(N3CCCC3)=NC2=O)cc1OC,5.140261433802853,0.0,1,CHEMBL1849,CHEMBL1059058
CHEMBL1440303,CNC(=O)c1nnsc1[S+]([O-])c1ccc(Cl)cc1,3.964850542226537,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL408149,CCCCCCc1ccc(Oc2ccccc2CN2CCN(C)CC2)c(O)c1,4.499537123594353,2.7630742471597416,2,CHEMBL1849,CHEMBL936672
CHEMBL168,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,4.656592522746341,1.1842857376709528,4,CHEMBL360,CHEMBL3750542
CHEMBL3980494,COC(=O)c1cc2occc2n1CC(=O)c1ccc(Cl)cc1,6.221848749616356,0.0,1,CHEMBL3879870,CHEMBL3865749
CHEMBL3983497,CCn1cnc(S(=O)(=O)N2CCC(C(=O)Nc3cccc(-c4ccno4)c3)CC2)c1,5.571865205971212,0.0,1,CHEMBL3988585,CHEMBL3887425
CHEMBL4437244,Cc1c(CCC(=O)N2CCCC2)c(=O)n2c([nH]c3ccccc32)c1C#N,7.154901959985743,0.0,1,CHEMBL3804751,CHEMBL4371323
CHEMBL3917214,COc1cc(Cl)c(NC(=O)C2CCN(S(=O)(=O)c3cn(C(C)C)cn3)CC2)c(OC)c1,5.542118103266008,0.0,1,CHEMBL3988585,CHEMBL3887425
CHEMBL3628357,CCOC(=O)c1cnc2ccc(F)cc2c1Nc1ccc(OCCCN2CCN(CC)CC2)cc1,4.927015255372069,0.0,1,CHEMBL3430898,CHEMBL3630322
CHEMBL5612596,Cc1[nH]c(C(=O)Nc2nc3c(OC(C)C4CCNCC4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,8.387216143280265,0.0,1,CHEMBL3430898,CHEMBL5610214
CHEMBL3911247,CCn1cnc(S(=O)(=O)N2CCC(C(=O)NCCc3nc4cc(C)ccc4[nH]3)CC2)c1,5.407823242604133,0.0,1,CHEMBL3988585,CHEMBL3887425
CHEMBL1892379,CC(Oc1ccc2c(c1)oc(=O)c1ccccc12)C(=O)NCCCN1CCOCC1,5.823041019413092,0.0,1,CHEMBL1287620,CHEMBL2354305
CHEMBL69612,O=C1NC(=S)S/C1=C\C=C\c1ccc([N+](=O)[O-])o1,4.719649306953994,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL4444080,NCc1cccc(NS(=O)(=O)/C=C/c2cccc(C(F)(F)F)c2)c1,5.3979400086720375,0.0,1,CHEMBL1849,CHEMBL4405868
CHEMBL1765362,O=C(O)c1cc(-c2ccc(-c3ccc(F)c(C(F)(F)F)c3)cc2C2CCCCC2)on1,6.657577319177793,0.0,1,CHEMBL4540,CHEMBL1768070
CHEMBL3488903,CCC(=O)N1CCN(C(=O)Cn2cccn2)CC1,4.653591079503546,0.0,1,CHEMBL360,CHEMBL4649971
CHEMBL5218779,O=C1NC(=S)NC(=O)C1=Cc1ccc(OCc2ccc(Cl)cc2)cc1-c1cc(Cl)c(O)c(Cl)c1,5.441291429466834,0.0,1,CHEMBL4540,CHEMBL5216850
CHEMBL5624750,CCCC[C@@H](C(=O)O)N1C(=O)/C(=C/c2ccc(-c3ccccc3)cc2)SC1=S,6.2076083105017466,0.0,1,CHEMBL6066201,CHEMBL5622563
CHEMBL465740,CCCCC[C@H](CN(O)C=O)C(=O)N1CCC[C@H]1c1nc2ccccc2o1,7.886056647693163,0.0,1,CHEMBL5765,CHEMBL1014575
CHEMBL1945702,COc1ccc(C(=O)/C=C/c2ccc3c(c2)OCO3)c(OC)c1,3.995678626217357,0.0,1,CHEMBL4542,CHEMBL1948973
CHEMBL3764019,Cc1nc2sc3ccccc3n2c1C(=O)N/N=C/c1ccc(N(C)C)cc1,5.835647144215563,0.0,1,CHEMBL6069,CHEMBL3766329
CHEMBL3445277,CCCn1nnc(NCc2ccc(-c3ccc(Br)cc3)o2)n1,4.529282494625309,0.0,1,CHEMBL4105939,CHEMBL4649965
CHEMBL4454539,CC[C@H]1OC(=O)[C@H](C)[C@H](O)[C@H](Cc2cccnc2)NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC1=O,3.896196279044043,0.0,1,CHEMBL1849,CHEMBL4380941
CHEMBL1796111,O=C(NCCCN1CCCC1)c1ccc2c(c1)N(Cc1cccc(Cl)c1)C(=O)c1ccccc1S2,3.886056647693163,0.0,1,CHEMBL1744527,CHEMBL1798854
CHEMBL4062432,Cc1csc(Nc2ccc(OC3CCCC3)cc2)n1,7.154901959985743,0.0,1,CHEMBL360,CHEMBL4045152
CHEMBL5411176,COc1ccc(-c2noc(C(=O)NCCc3ccc(C(N)=O)cc3)n2)cc1OC,6.698970004336019,0.0,1,CHEMBL4105939,CHEMBL5375438
CHEMBL5584040,c1ccc(-c2nc(-c3cc4ccccc4cn3)c3ccc4ccccc4n23)cc1,4.062983892535186,0.0,1,CHEMBL360,CHEMBL5535663
CHEMBL1784316,O=C(O)/C1=C/C#Cc2ccccc2C#CCCNC1=O,3.957818405484234,0.0,1,CHEMBL4542,CHEMBL1786815
CHEMBL3884787,Cc1ccc2c(c1)C(=O)C(=O)N2CCN1CCN(NCc2ccccc2OCc2ccccc2)CC1,5.0,0.0,1,CHEMBL3430898,CHEMBL3875318
CHEMBL238592,Cc1cc(O)c2c(c1Cl)C(=O)C=CC2=O,4.499979995661878,8.204159991332169,2,CHEMBL360,CHEMBL3077583
CHEMBL3896702,CCOC(=O)/C=C\CBr,5.658172147490067,0.2471099978769713,2,CHEMBL3988585,CHEMBL3887425
CHEMBL1762039,CCN(CC)C(=O)[C@H]1CC[C@H]2[C@@H]3CNC4=CC(=O)C5CC5[C@]4(C)[C@H]3CC[C@]12C,3.2676062401770314,0.0,1,CHEMBL1744528,CHEMBL1764602
CHEMBL85501,Cc1cccc(C)c1SSCCNC(=O)/C(Cc1cccc(Br)c1)=N/O,4.187086643357144,0.0,1,CHEMBL3703,CHEMBL752054
CHEMBL5566657,CN(CC#Cc1ccccc1)c1nc(=O)c2cc(C(F)(F)F)cc([N+](=O)[O-])c2s1,7.638272163982407,0.0,1,CHEMBL3804751,CHEMBL5528588
CHEMBL3088170,O=C1CC(c2nc3ccccc3n2Cc2ccccc2)CN1C1CCCCC1,6.0,0.0,1,CHEMBL1849,CHEMBL3089491
CHEMBL1571824,O=C(O)C1C2C=CC(CC2)C1C(=O)O,3.943133246341687,0.0,1,CHEMBL1293297,CHEMBL1614471
CHEMBL1569740,Cn1cccc1-c1nc2ccccc2n1C,5.5111673656176,0.0,1,CHEMBL1287620,CHEMBL2354305
CHEMBL3469494,NS(=O)(=O)N1CCc2ccc(NC(=O)Cc3ccc(F)cc3)cc21,4.560617088838521,0.0,1,CHEMBL4662931,CHEMBL4649972
CHEMBL5084676,CNC(=O)c1c(-c2cccc(O)c2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,6.136677139879544,0.0,1,CHEMBL4105939,CHEMBL5038057
CHEMBL6134270,CN1CN(C2CCCC2)Cc2c(O)ccc3oc(-c4ccc(O)cc4)c(c23)C1=O,5.231361898752385,0.0,1,CHEMBL4105939,CHEMBL6107683
